group_id,group_name,titul,url,velikost_b
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 27.4.2021","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-27-4-2021-zapis-rada-poskytovatelu-mzcr-27-4-2021-608fb0210df52.docx",18438
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 8.6.2021","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-8-6-2021-zapis-rada-poskytovatelu-mzcr-8-6-2021-61029bbd067e6.docx",21772
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 27.7.2021","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-27-7-2021-zapis-rada-poskytovatelu-mzcr-27-7-2021-615d4ed88ddb1.docx",25438
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 7.9.2021","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-7-9-2021-zapis-rada-poskytovatelu-mzcr-7-9-2021-615d4f3360122.docx",22496
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 5.10.2021","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-5-10-2021-zapis-rada-poskytovatelu-mzcr-5-10-2021-6171505fee7c5.docx",27866
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 30.11.2021","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-30-11-2021-zapis-rada-poskytovatelu-mzcr-30-11-2021-61cab37fef5b0.docx",35612
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 4.1.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-4-1-2022-zapis-rada-poskytovatelu-mzcr-4-1-2022-62567eb5c410c.docx",23665
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 9.1.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-9-1-2022-zapis-rada-poskytovatelu-mzcr-9-1-2022-62567efca932e.docx",16715
2,"Rada poskytovatelů Ministerstva zdravotnictví","Rada poskytovatelů MZČR - 22.2.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-22-2-2022-rada-poskytovatelu-mzcr-22-2-2022-62567f2b410fc.docx",29021
2,"Rada poskytovatelů Ministerstva zdravotnictví","Rada poskytovatelů MZČR - 17.3.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-17-3-2022-rada-poskytovatelu-mzcr-17-3-2022-62567f60e404d.docx",16111
2,"Rada poskytovatelů Ministerstva zdravotnictví","Rada poskytovatelů MZČR -25.3.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-25-3-2022-rada-poskytovatelu-mzcr-25-3-2022-62567fa56d0bc.docx",24782
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 19. 4. 2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-19-4-2022-zapis-rada-poskytovatelu-mzcr-19-4-2022-627932891ae12.pdf",190230
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 17.5.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-17-5-2022-zapis-rada-poskytovatelu-mzcr-17-5-2022-62a9c3af0955f.pdf",169250
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 21.6.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-21-6-2022-zapis-rada-poskytovatelu-mzcr-21-6-2022-62e7826d11d0e.docx",36460
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 20.9.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-20-9-2022-zapis-rada-poskytovatelu-mzcr-20-9-2022-63514552afdd8.pdf",233113
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 22.11.2022","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-22-11-2022-zapis-rada-poskytovatelu-mzcr-22-11-2022-63bfccb8226a7.pdf",187726
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 24.1.2023","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-24-1-2023-zapis-rada-poskytovatelu-mzcr-24-1-2023-640b13eeeb452.pdf",353791
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 11.4.2023","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-11-4-2023-zapis-rada-poskytovatelu-mzcr-11-4-2023-645a0324ecfb2.pdf",180999
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 20.6.2023","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-20-6-2023-zapis-rada-poskytovatelu-mzcr-20-6-2023-64b02b8defbb3.pdf",295172
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 19.9.2023","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-19-9-2023-zapis-rada-poskytovatelu-mzcr-19-9-2023-65141b9f5704a.docx",29334
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 9.1.2024","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-9-1-2024-zapis-rada-poskytovatelu-mzcr-9-1-2024-65a9027a50383.docx",33201
2,"Rada poskytovatelů Ministerstva zdravotnictví","zápis - Rada poskytovatelů MZČR - 14.5.2024","https://ppo.mzcr.cz/upload/files/rada-poskytovatelu-mzcr-14-5-2024-zapis-rada-poskytovatelu-mzcr-14-5-2024-6669626ec4a82.pdf",315923
