person_id,person_name,pocet_clenstvi,role,afiliace,skupiny
3522,"MUDr. Pavla Krtilová",1,"Členové","","Národní transfuzní komise MZ (Členové)"
3530,"doc. Mgr. Martina Lengerová, Ph.D.",1,"Členové","","Národní institut pro zvládání pandemie (Členové)"
3532,"Ing. Eduard Ježo",1,"Členové","","Pracovní skupina pro reformu veřejného zdraví v ČR (Členové)"
3544,"Mgr. Lukáš Bouz",1,"Členové","","Pracovní skupina Ministerstva zdravotnictví pro koordinaci spolupráce s OECD (Členové)"
3547,"prof. MUDr. Jan Smetana, Ph.D.",1,"Členové","","Národní institut pro zvládání pandemie (Členové)"
3563,"doc. JUDr. Tomáš Doležal, Ph.D., LL.M.",1,"Členové","Ústav státu a práva AV ČR, Praha","Etická komise Ministerstva zdravotnictví (Členové)"
3564,"prof. RNDr. Renata Veselská, Ph.D., M.Sc.",1,"Členové","Masarykova univerzita Brno","Etická komise Ministerstva zdravotnictví (Členové)"
3566,"PhDr. David Černý, Ph.D.",1,"Členové","Ústav státu a práva AV ČR, Praha","Etická komise Ministerstva zdravotnictví (Členové)"
3568,"MUDr. Boris Šťastný",1,"Členové","","Pracovní skupina pro obezitu a diabetes v rámci Národního programu prevence a léčby obezity České republiky (Členové)"
3583,"Mgr. Daniel Krejcar, MBA",1,"Místopředseda","","Pracovní skupina k zajištění dostupnosti psychoterapie, psychoterapeutických a psychosociálních intervencí (Místopředseda)"
3591,"Prof. RNDr. Dagmar Dzúrová, CSc.",1,"Členové","","Rada Národního centra pro medicínské nomenklatury a klasifikace (Členové)"
3603,"MUDr. Jan Vodička",1,"Členové","","Komise pro reprodukční medicínu (Členové)"
3604,"MUDr. Štěpán Machač, Ph.D.",1,"Místopředseda","","Komise pro reprodukční medicínu (Místopředseda)"
3608,"MUDr. Jiří Mašek",1,"Členové","","Řídící rada Národního screeningového centra (Členové)"
3611,"RNDr. Helena Jiřincová",1,"Členové","","Národní institut pro zvládání pandemie (Členové)"
3615,"MUDr. Tomáš Havelka",1,"Členové","","Pracovní skupina pro dětskou a dorostovou psychiatrii (Členové)"
3617,"Marie Hájek Salomonová, MSci.",1,"Členové","","Pracovní skupina pro dětskou a dorostovou psychiatrii (Členové)"
3618,"Alena Müllerová",1,"Členové","","Pracovní skupina pro dětskou a dorostovou psychiatrii (Členové)"
3635,"PhDr. Ivana Mádlová",1,"Členové","zástupce Výboru pro zdravotnictví PS Parlamentu ČR","Odborná rada pro ošetřovatelství a řízení implementace a hodnocení úspěšnosti Koncepce ošetřovatelství (Členové)"
3642,"Ing. Pavel Dvořák",1,"Členové","","Pracovní skupina pro lékařské ozáření (Členové)"
3677,"JUDr. Pavel Šulda",1,"Členové","","Rozkladová komise ministra zdravotnictví (Členové)"
3685,"Ing. Zdeněk Kabátek",1,"Členové","VZP ČR","Národní rada elektronického zdravotnictví (Členové)"
3688,"MUDr. Miroslav Zvolský",1,"Členové","","Pracovní skupina pro dobrovolnictví ve zdravotnictví (Členové)"
3689,"doc. MUDr. Jiří Klempíř, Ph.D.",1,"Členové","ERN-RND, VFN","Mezioborová komise pro vzácná onemocnění (Členové)"
3691,"MUDr. Jiří Bonaventura, Ph.D.",1,"Členové","ERN GUARD-Heart, FN Motol","Mezioborová komise pro vzácná onemocnění (Členové)"
3692,"doc. MUDr. Petra Lišková, Ph.D.",1,"Členové","ERN EYE, VFN","Mezioborová komise pro vzácná onemocnění (Členové)"
