group_id,group_name,section_unit,role,person_id,person_name,affiliation
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Místopředseda",2277,"prof. RNDr. Ondřej Slabý, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",19,"doc. MUDr. Martin Anders, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",40,"prof. MUDr. Marek Babjuk, CSc.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",3775,"prof. MUDr. Jiří Beneš, CSc.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",115,"prof. MUDr. RNDr. Jiří Beneš, CSc.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",246,"doc. MUDr. Svatopluk Býma, CSc.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",3163,"prof. PharmDr. Martin Doležal, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",4221,"prof. MUDr. Tomáš Grus, Ph.D., MBA",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",605,"prof. MUDr. Robert Gürlich, CSc.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",610,"doc. MUDr. Marián Hajdúch, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",657,"prof. MUDr. Vojtěch Havlas, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",4218,"doc. Jakub Hlávka, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",771,"prof. MUDr. Tomáš Honzík, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",3800,"prof. MUDr. Jakub Hort, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",4217,"doc. RNDr. Klára Hulíková Tesárková, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",1592,"doc. MUDr. Marek Mechl, Ph.D., MBA",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",4220,"prof. MUDr. Karel Pacák, DrSc., FACE, Dr. h. c.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",1856,"prof. MUDr. Antonín Pařízek, CSc.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",1971,"prof. PhDr. Andrea Pokorná, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",2419,"prof. MUDr. Marek Svoboda, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",2538,"doc. MUDr. Roman Šmucler, CSc.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",4216,"prof. MUDr. Radek Špíšek, Ph.D.",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",2637,"prof. MUDr. Vladimír Tesař, DrSc., MBA, FASN, FERA, FISN",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",2806,"prof. MUDr. Josef Veselka, CSc., FESC, FSCAI, FICA",""
3,"Vědecká rada Ministerstva zdravotnictví","MIN/KAB","Členové",4219,"doc. MUDr. Ondřej Volný, Ph.D., FESO",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Předseda",1974,"MUDr. Petr Pokorný",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Místopředseda",1607,"MUDr. Ivana Mervartová",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",19,"doc. MUDr. Martin Anders, Ph.D.",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",56,"MUDr. Jana Barnatová",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",177,"MUDr. Markéta Brabcová",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",3813,"MUDr. Karel Dvorník",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",716,"Mgr. Lenka Hladíková",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",3945,"Mgr. Kristýna Jánišová",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",3100,"MUDr. Jan Kolář",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",3102,"Mgr. Ivana Koudelková",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",1209,"Ing. Bc. Irena Kouřilová",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",3494,"PharmDr. Aleš Mareček",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",1628,"Mgr. Vlastimil Milata","bez hlasovacího práva"
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",1920,"Jana Petrenko","bez hlasovacího práva"
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",1953,"MUDr. František Plhoň",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",2154,"MUDr. Irena Rubešová","bez hlasovacího práva"
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",4275,"Mgr. Lucie Růžičková",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",2212,"MUDr. Martin Sedláček",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",3064,"Mgr. Alice Strnadová, MBA",""
4,"Pracovní skupina k seznamu zdravotních výkonů s bodovými hodnotami","SZT/OZI","Členové",2507,"Ing. Mgr. Venuše Škampová",""
